"","uid","majority_label","entropy","old_label","n","e","c","ground_truth","hypothesis","premise"
"387","2937697444.jpg#2r1c","c",0.365923650900223,"c",7,0,93,"c","The guy is watching tv.","A guy on a waterskiing board is doing a stunt."
"388","189521182.jpg#4r1e","n",1.10251255980741,"e",57,41,2,"e","The girl is a performer for the show.","girl sitting in fire for a show"
"389","4664359066.jpg#0r1n","n",0.910655958802555,"c",78,4,18,"n","People are talking to eachother","Several people stopped by the side of the road are watching what is happening in the woods."
"390","4222240844.jpg#3r1n","n",0.837355597339445,"n",77,22,1,"n","A father carries his child, holding an umbrella to keep the rain away.","A man is carrying a child while holding a red and blue umbrella."
"391","4878415659.jpg#3r1n","e",0.942683189255492,"n",36,64,0,"n","The boy doesn't like his costume.","A costume worn by this little boy is making him feel a little insecure."
"392","3337809183.jpg#0r1e","e",0.515895152948209,"e",9,90,1,"e","A person in a jacket","A man in a green safety jacket and pants stands, facing away, near bags of trash while people stand on the curb across the street."
"393","2249912075.jpg#0r1e","e",1.05124375119656,"e",26,70,4,"e","A group of people are indoors.","A man in a club addressing other people and holding his index finger up with a woman standing behind him."
"394","531721856.jpg#1r1c","c",0.286396957115956,"c",5,0,95,"c","The women are eating glass.","A blond woman and a brunette woman drink glasses of champagne."
"395","2688936204.jpg#0r1n","n",0.917690563152123,"n",72,27,1,"n","A cowboy clown is is talking into a microphone at a rodeo.","A cowboy clown wearing a shirt with Tax on it, red suspenders, and a white cowboy hat talks into a wireless microphone."
"396","3181599388.jpg#1r1n","n",0.891091627819634,"e",81,10,9,"n","Two wrestlers were just tagged in on a tag team match.","Two wrestlers jump in a ring while an official watches."
"397","652542470.jpg#3r1e","n",1.12114609454121,"e",50,48,2,"e","The girl has swam before.","A girl prepares herself for the swim meet."
"398","4970845641.jpg#0r1n","n",1.51598097181667,"c",46,21,33,"n","a woman wears a backpack","An African American wearing a red backpack looks the photographer as he walks past a concrete wall covered in graffiti."
"399","7635804008.jpg#0r1c","c",0,"c",0,0,100,"c","The children are swinging on swings at the playground.","Several children in full riding gear are on horseback in a grassy field carrying polo equipment."
"400","3227620119.jpg#3r1n","n",0.636211337372578,"n",86,13,1,"n","A woman wearing yellow is running a race.","A runner in a yellow shirt is running a race."
"401","3605440115.jpg#1r1n","e",0.6098403047164,"e",15,85,0,"n","Baseball players playing a game.","The baseball player wearing the ""Irish"" uniform prepares to throw the ball to his teammate as the umpire watches closely."
"402","2502007071.jpg#2r1c","n",0.686882753799029,"n",87,6,7,"c","Four people are waiting for the bus.","Three adults and one child are waiting outside of a building, perhaps a school."
"403","2480327661.jpg#3r1n","e",0.44566434565824,"e",7,92,1,"n","a boy shows his uniform","A boy poses in karate form and uniform."
"404","2401027304.jpg#1r1n","n",0.799483779737341,"n",79,20,1,"n","A photographer is taking photos at the golf championship.","A man in a navy polo shirt snaps photos at a golf course while a crowd of spectators looks on in the background."
"405","4671497717.jpg#3r1n","n",0.735794862975338,"n",82,17,1,"n","A man buying a sandwich at a deli.","A male is placing an order in a deli."
"406","5914778546.jpg#0r1c","c",0.795040279384522,"c",24,0,76,"c","The catcher is holding a bat.","A baseball player sliding into home as the opposing team's catcher awaits the baseball for the out."
"407","356566832.jpg#3r1n","n",0.746539872415499,"n",83,2,15,"n","The rickshaw carried a lovely couple down the street.","A man wearing a brown shirt and green pans is pulling a rickshaw down a street"
"408","2881441125.jpg#3r1n","n",1.23616025437381,"n",65,25,10,"n","Two kids are getting a drink of water.","Two small children are gathering water from a large container."
"409","5090324042.jpg#4r1n","n",0.705075691242184,"n",86,10,4,"n","A man on stage singing accompanied by a stuffed bear is a ventriloquist.","A man is singing on stage with his fingers in a stuffed bear's nose."
"410","5090324042.jpg#4r1c","c",0.950672092687066,"n",37,0,63,"c","The man on stage singing with his fingers in a bear's nose is mute.","A man is singing on stage with his fingers in a stuffed bear's nose."
"411","3439126534.jpg#0r1n","n",0.62671424022246,"n",88,9,3,"n","Two individuals are beating a bread dough on the table.","Two women, one wearing a scarf and the other wearing a broad brim hat, pound what may be food, on a primitive table with wooden mallets"
"412","357725852.jpg#0r1c","n",1.10251255980741,"c",57,2,41,"c","Two people jumping off a dock into the water.","The two people are on the end of the dock with a boat behind them, and they are surrounded by water."
"413","2811917688.jpg#1r1e","e",0.99740158856774,"e",47,53,0,"e","The clown is very upset.","A red-haired clown cries streams of tears in a white hat on stage."
"414","4572766663.jpg#0r1c","n",0.893173458377857,"c",69,0,31,"c","Two women sit down for coffee.","A city street performer with long gray hair sits on a green bucket, two woman look on behind the man."
"415","6307540579.jpg#0r1n","n",0.382542669197746,"n",94,4,2,"n","A mother photographs her son at the indoor skate park.","A photographer with bushy dark hair takes a photo of a skateboarder at an indoor park."
"416","96056569.jpg#3r1n","n",0.365923650900223,"e",93,7,0,"n","Two newly weds are cutting their wedding cake.","A woman and man are cutting a large cake."
"417","3204500803.jpg#1r1c","n",0.970950594454669,"c",60,0,40,"c","the asian woman served rice in their restaurant","An Asian woman in a red skirt sits near the ground with another woman standing next to her."
"418","2060904593.jpg#0r1n","c",1.26844673126295,"c",33,8,59,"n","four young men get ready to go hunting in a wooden room","Three young men in blue jeans are gathered inside a wood-paneled room, one of them handling a crossbow."
"419","2060904593.jpg#3r1e","c",0.974892045574021,"e",9,13,78,"e","Three boys are inspecting a bow.","Three boys in a wooden-paneled room, one inspecting a bow."
"420","7239534164.jpg#0r1c","c",0.701471459883897,"c",19,0,81,"c","People going to a bingo game.","Man and a woman in a red dress dancing on stage in front of other dancers and a metro PCS sign."
"421","6734323683.jpg#3r1e","n",1.27551803320299,"e",63,26,11,"e","How the puppet shows work.","A puppet show consisting of humans standing on tall sticks."
"422","6734323683.jpg#3r1n","n",1.41529385874917,"n",55,16,29,"n","The puppets are pulling by people.","A puppet show consisting of humans standing on tall sticks."
"423","578644583.jpg#4r1e","n",0.944543589326252,"n",70,29,1,"e","There is a boy outside.","The boy jumps into the blue pool."
"424","4563347566.jpg#0r1n","n",1.01037763568139,"n",74,21,5,"n","Man in a straw hat and glasses, raising a cane into the air, surrounded by a crowd.","A man wearing a hat, glasses and a painted mustache standing in a crowd of Asian people holding up a stick."
"425","3205754736.jpg#0r1c","c",0.841464636208176,"c",27,0,73,"c","The man is holding up a cross.","A man in a red hat and blue jacket in a protest is holding up a tablet that talks about God and judgement."
"426","88488944.jpg#3r1e","e",1.03536606140002,"e",28,69,3,"e","An Asian girl is sitting.","An Asian girl writes down something on a notepad in her lap."
"427","62964059.jpg#2r1n","n",0.903169935075628,"c",73,1,26,"n","A woman makes her bed comfortable","A woman with red-hair swings a pillow and laughs."
"428","251034921.jpg#0r1n","n",0.505248222649879,"e",91,7,2,"n","The boys make the goal.","A young boy with sandy blond-hair and white and black soccer uniform kicking for the goal while parents look on."
"429","3532598048.jpg#4r1e","e",0.44566434565824,"e",7,92,1,"e","There are multiple people present.","A guy playing an accordion with people listening and watching."
"430","804087017.jpg#1r1e","n",1.40868910149169,"e",51,36,13,"e","Tow people are resting their backs against a bench.","Two people sit on a bench leaned against a building with writing on it."
"431","804087017.jpg#1r1n","n",0.584238811642856,"n",86,0,14,"n","Some people are at a historical park.","Two people sit on a bench leaned against a building with writing on it."
"432","4481066026.jpg#0r1c","c",0.950672092687066,"c",37,0,63,"c","Man steals hat from woman in sunglasses.","A male and a female with a black hat, and sunglasses stop and talk."
"433","2896668718.jpg#0r1n","e",0.956907135915233,"e",30,69,1,"n","Two players from opppsing teams face off.","One football player wearing an orange jersey and one wearing a white jersey are set at the starting line."
"434","4436531973.jpg#1r1n","n",0.823865807724009,"n",83,7,10,"n","The man is about to buy ice cream","A man standing behind a small ice cream cart on a street corner."
"435","4343682191.jpg#1r1c","c",1.01699683745054,"c",36,1,63,"c","A blind woman sits in a chair.","A woman in black framed glasses peruses a photo album while sitting in a red wicker chair."
"436","3974156067.jpg#1r1n","e",0.0807931358959112,"e",1,99,0,"n","A man is laughing","A young man in front of a grill laughs while pointing at something to his left."
"437","3974156067.jpg#1r1c","n",1.23267294842448,"e",51,44,5,"c","A man is outside","A young man in front of a grill laughs while pointing at something to his left."
"438","3652094744.jpg#0r2n","n",0.771994897647078,"n",83,14,3,"n","The images were deleted.","images are missing images are missing images are missing images are missing images are missing images are missing"
"439","241031254.jpg#3r1e","n",0.637957870336228,"n",87,11,2,"e","A man is standing up.","A man wearing a water pack and shorts on an outdoor trail."
"440","3110818388.jpg#0r1n","e",1.26713793959907,"e",46,48,6,"n","A woman has her nails filed for a manicure.","As part of a manicure, a person has their nails filed to the proper length and shape."
"441","4833879670.jpg#0r1c","c",0.366446264453378,"c",5,1,94,"c","A man is playing his guitar and singing on a stage in a bar.","A man is standing on the sidewalk, playing a guitar and singing, with a container of tips by him."
"442","3677239603.jpg#2r1c","n",0.499915958164528,"n",89,0,11,"c","A woman in a purple sweater is getting her hair done","A woman in a purple sweater has an odd look on her face."
"443","5266194002.jpg#0r1c","c",0.467081440159003,"c",6,2,92,"c","A woman watches two men in the kitchen","A man in a blue t-shirt is watching two women sitting at a table in the kitchen baking."
"444","3474176841.jpg#3r1e","e",0.65770477874422,"e",17,83,0,"e","He is riding a bike.","A cyclist rides down a rocky mountain."
"445","7724666074.jpg#3r1n","n",0.886587356486255,"n",78,19,3,"n","A boy races his dirt bike outside.","A person is riding a colorful dirt bike on dirt hills."
"446","4701971823.jpg#0r1c","c",0.499915958164528,"c",11,0,89,"c","The teenagers are skateboard surfing with a van.","A group of teenagers enjoying cooling off in a fountain of water."
"447","3375549004.jpg#4r1n","n",0.746539872415499,"n",83,15,2,"n","While carrying heavy sacks of flour the men walked the path single file","Men walk in line carrying things."
"448","538638526.jpg#0r1c","c",0.557438185027989,"c",13,0,87,"c","A homeless girl uses both hands to eat garbage from a garbage can.","Blond woman wearing a red shirt and white pants stands on a garbage can as she holds a camera."
"449","2062607137.jpg#4r1n","n",0.387444919154476,"n",94,3,3,"n","The dogs are playing with a ball.","a brown and a black dog play in a field"
"450","2715155329.jpg#1r1e","n",0.950672092687066,"e",63,37,0,"e","A gentleman smiling and showing his reflective sunglasses to others.","A gentleman smiling and showing his reflective sunglasses."
"451","2715155329.jpg#1r1c","n",0.887896651765621,"n",74,1,25,"c","A gentlemen sitting in a chair looking out a window.","A gentleman smiling and showing his reflective sunglasses."
"452","4872766179.jpg#0r1e","e",1.38594038948505,"e",41,48,11,"e","a young man sits with two others near a pool table and a drink","Two young man are getting ready for a game of pool on a purple pool table, with another young man in the background, holding a drink."
"453","3082934678.jpg#2r1n","n",0.161440542541821,"n",98,1,1,"n","the yellow dogs run on the road to their owners house","Two yellow dogs are running side by side down a road."
"454","475816542.jpg#2r1c","c",0.47853391043627,"c",5,3,92,"c","A black and a brown cat are running toward the camera.","A black and a brown dog are running toward the camera."
"455","3201637996.jpg#3r1c","n",1.1173845383205,"c",61,3,36,"c","A man is laughing.","The dude at the party is raging!"
"456","3259228898.jpg#0r1c","n",0.942683189255492,"c",64,0,36,"c","The black box is shaped like a ball.","A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him."
"457","3259228898.jpg#0r1e","e",1.12114609454121,"n",48,50,2,"e","The man is being watched.","A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him."
"458","3306464579.jpg#0r1e","e",0,"e",0,100,0,"e","a man using a frying pan","A man with a tattoo on his left arm flips his food into the air with his frying pan."
"459","3306464579.jpg#0r1c","c",0.6098403047164,"c",15,0,85,"c","a kid cooking lunch","A man with a tattoo on his left arm flips his food into the air with his frying pan."
"460","3181701312.jpg#2r1n","n",0.992774453987808,"n",55,45,0,"n","People are walking by a man sleeping on the sidewalk.","A man takes a nap on the sidewalk in a busy city."
"461","3726076549.jpg#1r1n","e",1.36899559358928,"n",45,45,10,"n","A boy is practicing bike tricks.","A boy in jeans, black t-shirt, and blue cap on a bike, leaps over steps."
"462","3726076549.jpg#1r1c","c",1.06292078203904,"c",35,2,63,"c","A boy is playing on a skateboard.","A boy in jeans, black t-shirt, and blue cap on a bike, leaps over steps."
"463","7382482712.jpg#0r1n","n",1.28975154458645,"e",64,22,14,"n","Some players are playing soccer in ground","A soccer team dressed in all black are gathered together on a soccer field where it is cold enough to see one's own breath."
"464","7382482712.jpg#0r1c","n",1.18674288858607,"n",65,7,28,"c","Some peoples are running in game","A soccer team dressed in all black are gathered together on a soccer field where it is cold enough to see one's own breath."
"465","7382482712.jpg#0r1e","n",1.15835956163418,"e",53,44,3,"e","A soccer team are playing in soccer field","A soccer team dressed in all black are gathered together on a soccer field where it is cold enough to see one's own breath."
"466","191457211.jpg#0r1e","e",0.499915958164528,"e",11,89,0,"e","The dachshunds are dogs","Two children plus two dachshunds get ready for a sleepover."
"467","191457211.jpg#0r1n","n",0.826746372492618,"c",74,0,26,"n","The children are feeding the dogs","Two children plus two dachshunds get ready for a sleepover."
"468","3134387513.jpg#0r1c","c",0.637957870336228,"c",11,2,87,"c","Two men are in a light room","A man and woman in a dark room with lights behind them holding drinks while a bright green light shines in their faces."
"469","237424188.jpg#0r1n","n",0.811278124459133,"n",75,0,25,"n","two girls talking about boys","A girl wearing a red shirt and jeans is sitting in a rocking chair at a cluttered desk, while another girl wearing a black t-shirt and jogging pants is sitting on the floor writing on a piece of paper with other papers arranged around her."
"470","4331822848.jpg#0r1n","n",0.950672092687066,"n",63,37,0,"n","Spectators watch a performance piece from an artist.","A woman in a white skirt and training bra dances over a pile of leaves as a crowd of spectators looks on."
"471","2250713748.jpg#3r1e","n",0.634309554640566,"n",84,16,0,"e","People have dressed up for a party.","People dressed in colorful outfits are gathered together."
"472","4937650592.jpg#4r1n","n",0.841464636208176,"e",73,27,0,"n","A man is riding a dirt bike in a race at a track.","A man riding a dirt bike on a racetrack."
"473","3141293960.jpg#1r1e","e",0.950672092687066,"e",37,63,0,"e","The skateboarder has experience riding a skateboard","A skateboarder is performing a trick in the air."
"474","2557805364.jpg#0r1n","e",1.00015982601079,"n",29,69,2,"n","The batter watches his potential home run fly","In a Little League baseball game, the batter watches as the ball he has just hit flies off toward right field, with the catcher looking on."
"475","2557805364.jpg#0r1e","e",0.0807931358959112,"e",0,99,1,"e","The batter watches the ball fly towards right field","In a Little League baseball game, the batter watches as the ball he has just hit flies off toward right field, with the catcher looking on."
"476","4444864006.jpg#1r1n","n",0.837355597339445,"n",77,22,1,"n","woman makes a speech","Women standing at a podium with a crowd and building in the background."
"477","2218743570.jpg#4r1n","e",0.467081440159003,"e",6,92,2,"n","A dog and cat are friendly.","A husky and a black cat nuzzling."
"478","4645891941.jpg#1r1n","e",1.05433556413374,"n",42,57,1,"n","A group cleans up after a major leak.","Group sweeping away leakage while bystanders look on."
"479","6829605875.jpg#0r1e","n",1.42071016071395,"e",48,39,13,"e","Workers pull together to get the project completed.","Two construction workers complete a task near the ground while a third worker looks on."
"480","3640104986.jpg#4r1e","e",0.931476356750271,"e",28,71,1,"e","A float with icons.","A float depicting religious imagery."
"481","4019072184.jpg#4r1e","e",1.13228312181304,"e",22,70,8,"e","A man is being secured.","A man is rock climbing with protective rope."
"482","242216901.jpg#0r1n","c",1.16074476797137,"c",45,3,52,"n","groups of people are imatating themselves","Groups of people are sitting on a curb and the others are walking, a young woman is pretending to be a stone statue of an angel and a woman has a little boy on her shoulders."
"483","242216901.jpg#0r1e","c",1.42958752122206,"c",22,22,56,"e","groups of people are standing around","Groups of people are sitting on a curb and the others are walking, a young woman is pretending to be a stone statue of an angel and a woman has a little boy on her shoulders."
"484","242216901.jpg#0r1c","n",1.20263306257365,"c",58,5,37,"c","groups of people are standing around chatting","Groups of people are sitting on a curb and the others are walking, a young woman is pretending to be a stone statue of an angel and a woman has a little boy on her shoulders."
"485","7810644900.jpg#4r1n","n",0.721279865552502,"e",84,14,2,"n","The man with dreadlocks does skateboard tricks in the middle of the road.","Man with dreadlocks on a skateboard in the middle of the street."
"486","4938916849.jpg#0r1e","n",1.29661060205345,"n",55,8,37,"e","Many people's take photo with a yellow woman","Many people take pictures as a blond woman wearing a cover-up only costume holds a sign proclaiming ""Photographers Not Predators"" on a pier."
"487","3190172940.jpg#2r1c","c",0.837355597339445,"c",22,1,77,"c","Our group is enjoying an early brunch.","Here are a bunch of people enjoying dinner and chatting."
"488","209604956.jpg#0r1e","e",0.221940732853211,"e",1,97,2,"e","The man is wearing clothing.","A young man in a black shirt and an elderly woman in a pink shirt sitting on a train together."
"489","209604956.jpg#2r1n","n",0.827280211626969,"e",83,8,9,"n","A man is sitting on the train talking to a woman.","A man in a black shirt sits next to an old woman in a pink shirt on a train."
"490","4484601315.jpg#0r1n","n",0.575160186084823,"n",89,9,2,"n","An old man walks outdoors on a fall morning.","An older man wearing glasses, striped shirt and green jacket carries a bouquet of flowers down a street."
"491","3431671749.jpg#2r1n","n",0.856856840084699,"n",78,20,2,"n","Flames are shooting from the rear of a race car as it takes off.","Flaming are shooting from the rear of a race car."
"492","3696246123.jpg#3r1e","e",1.19144362103937,"e",42,54,4,"e","The dogs are romping across the field.","Two dogs play with tennis ball in field."
"493","3175923463.jpg#0r1n","n",0.9580420222263,"n",62,38,0,"n","A trio in coordinating outfits are playing a traditional song on handmade bamboo instruments.","Three people in traditional garb play bamboo instruments."
"494","6526560433.jpg#1r1n","n",0.755482893884601,"n",85,6,9,"n","The football player in the white uniform is about to make a touchdown.","A football player in a black uniform appears ready to tackle an opponent in a white uniform who is in possession of the ball."
"495","6927430969.jpg#1r1e","n",0.951045660580127,"n",76,20,4,"e","The gym is crowded.","Several men and women working out in a gym while a few other people videotape them."
"496","3409506817.jpg#0r1n","n",0.499915958164528,"n",89,11,0,"n","A black limousine is waiting for an important guest in front of a marble building.","A black limousine in front of a marble building with a crowd of people on the buildings steps."
"497","8042217958.jpg#0r1n","n",0.956907135915233,"n",69,1,30,"n","The woman is editing a video.","A woman watching six televisions, while sitting on a hardwood floor in a beautiful room made of bricks with large windows, while a dark-haired man leaning on a windowsill is watching her."
"498","114368470.jpg#1r1e","e",0.987298699737119,"e",28,70,2,"e","He is waiting to pay.","Boy standing in line in a grocery store with his items on the conveyor belt."
"499","409930622.jpg#0r1c","c",0.646945116085503,"c",5,7,88,"c","A balding woman wearing a brown jacket with his hands crossed and his head tilted down.","A balding man wearing a brown jacket with his hands crossed and his head tilted down."
"500","140526326.jpg#2r1n","n",0.712573461756777,"n",83,16,1,"n","The man enjoys rock climbing.","A man rock climbs with a city and body of water in the background."
"501","4716333601.jpg#2r1c","c",0.922738059330266,"c",15,6,79,"c","two pedestrians walk on a cobblestone road a long way away from a cafe","Two pedestrians walking past a sidewalk cafe on a cobblestone street."
"502","2313551145.jpg#1r1c","c",0.960892574294554,"c",3,23,74,"c","There is a Coca-Cola sign on a church next to a building.","The side of a building next to a church is painted with a brightly colored Coca-Cola sign."
"503","6199648902.jpg#3r1n","n",1.14065905654061,"e",67,27,6,"n","The football player catches the ball.","Football player jumping to catch the ball with an empty stand behind him."
"504","985982384.jpg#3r1c","e",1.44865736000962,"c",18,53,29,"c","The rocks hangout above the water.","Men and women in swimsuits hangout on rocks above water."
"505","985982384.jpg#0r1e","e",0,"e",0,100,0,"e","Some people are Sun Tanning.","Some Women and Men are Sun Tanning, and watching the Ocean Waves, on a Bunch of Rocks."
"506","2705659087.jpg#2r1c","n",1.06721984907,"c",53,1,46,"c","the girl poses for artist nude drawing","Young, attractive and fashionable girl posed for the camera as she sits on a rock in a park-like setting."
"507","3714944415.jpg#1r1n","n",1.06897077605287,"e",52,47,1,"n","A woman looks at some magazines outside.","A woman sits at a table outdoors with magazines on her table."
"508","3714944415.jpg#1r1c","c",0.760167502961966,"c",22,0,78,"c","A woman stands near her husband.","A woman sits at a table outdoors with magazines on her table."
"509","3259992164.jpg#3r1n","n",0.856856840084699,"c",78,2,20,"n","People watching mimes","Many people are watching street performers dancing."
"510","274616931.jpg#4r1c","c",0.741482739931274,"c",21,0,79,"c","A woman shops at Tiffany's.","a man with a blue jacket look at items."
"511","4825458628.jpg#1r1c","c",0.365923650900223,"c",7,0,93,"c","A guy is folding his laundry at home","A guy in a laundromat getting his things together."
"512","4825458628.jpg#1r1n","n",1.13228312181304,"n",70,22,8,"n","A guy is getting his thongs together at the laundromat","A guy in a laundromat getting his things together."
"513","552863655.jpg#3r1c","c",0.402179190202273,"c",8,0,92,"c","The young boy is eating pie.","A young boy kissing an old man on the forehead."
"514","506442755.jpg#3r1c","c",1.35624747597904,"c",27,14,59,"c","People talk near a bunch of parked motorcycles.","bicycles stationed while a group of people socialize."
"515","2204777844.jpg#4r1e","e",0.221940732853211,"e",2,97,1,"e","The child is younger than the adult.","A child in red is guided by an adult."
"516","2204777844.jpg#4r1n","n",0.366446264453378,"n",94,5,1,"n","They are child and parent.","A child in red is guided by an adult."
"517","6029710737.jpg#0r1n","e",0.757991187178562,"n",18,81,1,"n","A group of teenagers are holding something","A group of teenagers are standing in front of some tents, most of them are holding skateboards."
"518","6029710737.jpg#0r1c","c",0.436469817064103,"c",9,0,91,"c","A group of teenagers are jumping","A group of teenagers are standing in front of some tents, most of them are holding skateboards."
"519","4456432456.jpg#0r1c","n",0.793709004425621,"n",81,2,17,"c","A woman is walking away from a building.","A woman in a blue coat walks in front of a sign with green men walking under the two words:berlin and kathmandu"
"520","4232778834.jpg#0r1e","e",0.991760148180973,"e",20,75,5,"e","A person with hair","A woman with dark hair and a red dress sits next to a little girl with blond-hair and a white dress while reading a book."
"521","3078844565.jpg#0r1c","c",1.48736387329588,"n",35,18,47,"c","A man is on top of a rock formation, taking in the view.","A man in jeans and a white shirt is standing near a rock formation with his back to the camera."
"522","3420651743.jpg#3r1e","n",0.778011303546538,"n",77,23,0,"e","A man in a hat is outside.","A man in a hat stands in front of a brick wall."
"523","1368082221.jpg#4r1c","c",0.92481870497303,"c",34,0,66,"c","A man is making a steak on the grill outdoors.","A man cooking food on the stove."
"524","2397886291.jpg#2r1e","n",0.989587521222056,"e",56,44,0,"e","They are outdoors.","Two grownups are waiting for the bus to arrive on a cold day."
"525","2397886291.jpg#2r1c","c",0.99740158856774,"c",47,0,53,"c","The are standing on the tree.","Two grownups are waiting for the bus to arrive on a cold day."
"526","2397886291.jpg#2r1n","e",1.00860713384399,"e",35,64,1,"n","They are waiting for the bus to pick them up.","Two grownups are waiting for the bus to arrive on a cold day."
"527","2460799229.jpg#1r1n","n",0.55712468351235,"n",90,3,7,"n","Three boys have just been down a waterslide.","Three boys wearing life jackets are on top of innertube in the water."
"528","2460799229.jpg#1r1e","c",1.5449413739107,"e",31,25,44,"e","Three boys are swimming.","Three boys wearing life jackets are on top of innertube in the water."
"529","1255599434.jpg#0r1n","n",0.735794862975338,"n",82,17,1,"n","The brothers look at each other","Two young boys in swimming trunks are in the water looking at each other."
"530","2504764590.jpg#2r1n","e",1.05844358890056,"e",43,56,1,"n","Two large dogs are fetching for their master.","A man is throwing a big stick into the water so his two dogs and go fetch it."
"531","415657941.jpg#3r1e","e",0.989906011609856,"e",33,66,1,"e","There are children playing outside.","Children playing on a playground."
"532","341235582.jpg#1r1n","n",0.721928094887362,"n",80,20,0,"n","A little blonde girl got a Care Bears blanket as Christmas gift.","A little blond girl is wrapped up in a Care Bears blanket with Christmas paper behind her."
"533","3413019648.jpg#0r1e","e",0.44566434565824,"n",7,92,1,"e","a person on a river paddles a canoe","A person in a green canoe paddles down rapids carrying oars and wearing an orange and black top."
"534","3413019648.jpg#0r1n","n",0.916118213778296,"n",80,12,8,"n","a man with a life vest paddles a canoe","A person in a green canoe paddles down rapids carrying oars and wearing an orange and black top."
"535","973353650.jpg#3r1n","n",1.3298888783307,"c",58,31,11,"n","The old man is dozing in the ancient ruin.","An elder bearded man having a rest in a dilapidated building."
"536","4691217656.jpg#4r1c","n",0.914926372779728,"c",67,0,33,"c","A boy and girl are fighting with each other.","A boy and a girl walk through the city."
"537","7189118835.jpg#2r1n","n",0.55712468351235,"n",90,3,7,"n","Three men are working on a new skyscaper in town.","One man is shirtless while the other two men work on construction"
"538","7189118835.jpg#2r1e","n",1.00015982601079,"n",69,29,2,"e","Three men are outdoors.","One man is shirtless while the other two men work on construction"
"539","3756739471.jpg#2r1n","c",0.992997266270944,"c",25,3,72,"n","The boy in the black and red swimsuit has fallen out of the boat","The boy in the black and red swimsuit is jumping into the water."
"540","4778395132.jpg#0r1e","e",0.322493361860324,"e",4,95,1,"e","The man is using his feet.","There is a street with buildings and one man in black walking on the side of the road."
"541","273056557.jpg#3r1n","n",0.662844204969614,"n",85,1,14,"n","The street is crowded.","A man jumps in front of a palace in China."
"542","4851210984.jpg#0r1c","c",0.322493361860324,"c",4,1,95,"c","Two men are shopping in the grocery store.","Two men play a game of chess in the park while two others eagerly await their chance"
"543","3826417429.jpg#1r1c","c",1.04432555269629,"c",40,1,59,"c","Two guys are backpacking on Mars.","Two backpackers look at scenic mountains."
"544","4825488431.jpg#1r1n","n",0.634309554640566,"n",84,0,16,"n","The bystanders are terrorists.","An airplane flying over a fence with a few bystanders watching it as it approaches its landing."
"545","4825488431.jpg#2r1n","n",0.607363555885167,"n",88,10,2,"n","The people are watching a plane show","Group of people stand near a fence watching a plane fly over them"
"546","4048692596.jpg#2r1n","e",1.54159348112269,"e",26,45,29,"n","There is a lady in a pumpkin dress sitting at a table.","a girl in a pumpkin dress sitting at a table."
"547","475317104.jpg#0r1e","e",1.15537421906291,"e",43,54,3,"e","A group of teens are hanging out in a garage.","A teenage girl stands in a large industrial garage with two boys sitting in the background."
"548","4513402918.jpg#0r1e","e",0,"e",0,100,0,"e","a band is playing","A band of young musicians are playing an intimate concert to a small crowd in an outdoor courtyard."
"549","4513402918.jpg#4r1c","c",0.0807931358959112,"c",1,0,99,"c","A band is practicing new tunes in the garage.","A live band on a lawn jamming out."
"550","2503678250.jpg#3r1c","c",0.778011303546538,"c",23,0,77,"c","The child is attending the circus.","Boy reading book with company of a rolled over dog."
"551","2503678250.jpg#3r1e","e",0.979576432168017,"e",32,67,1,"e","The kid is with his dog.","Boy reading book with company of a rolled over dog."
"552","74759622.jpg#0r1n","n",1.02811290094774,"c",73,5,22,"n","A man may have created a monster too unwilling to be flushed.","A guy is standing in front of a toilet with a coffee cup in one hand and a toilet brush in the other."
"553","3822535114.jpg#2r1e","e",1.07108147681563,"e",36,62,2,"e","Two women are enjoying a meal at a cafe.","Two women eating lunch in a cafe smile at the photographer."
"554","300777683.jpg#0r1c","c",0.942683189255492,"c",36,0,64,"c","A child is in the gym playing basketball","Children participating at a party while looking at the one kid in exuberance over the new toy."
"555","7232749356.jpg#0r1n","e",1.23449779679464,"n",45,50,5,"n","a race of some sort is underway","The crew shells are passing under marker 7, with the nearest shell in front by a good margin."
"556","241347803.jpg#3r1e","n",1.07832207954836,"e",68,28,4,"e","They are playing football.","This football team wears red shirts and red helmets."
"557","3039200576.jpg#3r1n","n",0.722170750687651,"n",86,6,8,"n","Two girls drop of their car to be washed.","Two girls are walking in car wash parking lot."
"558","4534889800.jpg#0r1n","n",0.9773443865976,"n",73,3,24,"n","The waiter takes a break after cleaning up the cafe, and the last customer leaves.","A man in an apron sits at a table in front of a restaurant, while another man crosses the street with a purple gift bag and rolling luggage."
"559","2370481277.jpg#0r1n","n",1.03841496705334,"n",60,39,1,"n","The kid is competing in a game.","A little boy in green is kicking a soccer ball and 6 boys in referee shirts are following him."
"560","2333975414.jpg#2r1n","n",0.779207486310554,"e",80,19,1,"n","Performers are doing a show at an event.","Several dancers are doing leg lifts on stage."
"561","3791591952.jpg#3r1c","c",0.634309554640566,"n",16,0,84,"c","Two entertainers are performing acrobatics in a car.","Two entertainers on a stage performing acrobatic moves."
"562","3791591952.jpg#3r1n","n",0.327444919154476,"n",94,6,0,"n","Two entertainers are performing acrobatics for an unusually large crowd.","Two entertainers on a stage performing acrobatic moves."
